*******************Overall Test Performance***********************
Precision: 0.7335849056603774, Recall: 0.6187141947803947, FBeta: 0.6712707182320442

*******************workclass Slicing***********************
** Private Scores:
Precision: 0.7356181150550796, Recall: 0.6138917262512769, FBeta: 0.6692650334075724
** Federal-gov Scores:
Precision: 0.7333333333333333, Recall: 0.6875, FBeta: 0.7096774193548387
** State-gov Scores:
Precision: 0.6440677966101694, Recall: 0.6129032258064516, FBeta: 0.628099173553719
** Local-gov Scores:
Precision: 0.7636363636363637, Recall: 0.6086956521739131, FBeta: 0.6774193548387096
** ? Scores:
Precision: 0.6666666666666666, Recall: 0.4782608695652174, FBeta: 0.5569620253164557
** Self-emp-not-inc Scores:
Precision: 0.6991150442477876, Recall: 0.5302013422818792, FBeta: 0.6030534351145038
** Self-emp-inc Scores:
Precision: 0.7819548872180451, Recall: 0.7819548872180451, FBeta: 0.7819548872180451
** Without-pay Scores:
Precision: 1.0, Recall: 1.0, FBeta: 1.0

*******************education Slicing***********************
** Some-college Scores:
Precision: 0.65, Recall: 0.5379310344827586, FBeta: 0.5886792452830188
** Bachelors Scores:
Precision: 0.738498789346247, Recall: 0.7439024390243902, FBeta: 0.741190765492102
** Assoc-acdm Scores:
Precision: 0.7804878048780488, Recall: 0.5245901639344263, FBeta: 0.6274509803921569
** HS-grad Scores:
Precision: 0.6303317535545023, Recall: 0.4054878048780488, FBeta: 0.4935064935064935
** 10th Scores:
Precision: 0.8, Recall: 0.4, FBeta: 0.5333333333333333
** 12th Scores:
Precision: 1.0, Recall: 0.25, FBeta: 0.4
** Assoc-voc Scores:
Precision: 0.8035714285714286, Recall: 0.5625, FBeta: 0.6617647058823529
** Prof-school Scores:
Precision: 0.8651685393258427, Recall: 0.8953488372093024, FBeta: 0.88
** 7th-8th Scores:
Precision: 1.0, Recall: 0.1111111111111111, FBeta: 0.2
** Doctorate Scores:
Precision: 0.873015873015873, Recall: 0.9166666666666666, FBeta: 0.8943089430894309
** 5th-6th Scores:
Precision: 1.0, Recall: 0.3333333333333333, FBeta: 0.5
** Masters Scores:
Precision: 0.7918781725888325, Recall: 0.7609756097560976, FBeta: 0.7761194029850746
** 1st-4th Scores:
Precision: 1.0, Recall: 1.0, FBeta: 1.0
** 11th Scores:
